ID,Location,Sampling time,Mesurement time,Fluoride,Chloride,Nitrite,Bromide,Nitrate,Phosphate,Sulfate,Lithium,Sodium,Ammonium ,Potassium,Magnesium,Calcium
LJ000,Porter Sink,5/4/2021 13:00,5/5/21 15:26,0.1552,5.9191,ND,ND,0.1223,ND,ND,NA,NA,NA,NA,NA,NA
LJ002,Porter Sink,6/8/2021 13:08,6/11/21 23:50,0.1882,4.6700,ND,ND,0.2130,ND,ND,ND,1.8180,ND ,0.9490,0.9660,2.3930
LJ003,Porter Sink,6/14/2021 17:20,6/15/21 1:05,0.0517,3.8784,ND,ND,0.1929,ND,ND,ND,2.2750,ND ,0.7330,1.0230,2.4600
LJ004,porter Sink,6/21/2021,6/21/21 18:14,0.0557,3.8762,ND,ND,ND,ND,ND,ND,2.4390,ND ,0.7780,1.1970,2.6560
LJ005,porter Sink,6/25/2021,6/25/21 18:24,ND,5.0591,ND,ND,ND,ND,ND,ND,4.0560,ND ,2.8490,1.5430,3.4990
LJ006,Porter Sink,7/5/2021 10:13,7/5/21 14:50,0.0861,5.7432,ND,ND,ND,ND,ND,ND,3.3660,ND ,2.7480,3.2040,1.0840
LJ007,Porter Sink,7/12/2021 10:14,7/12/21 14:58,0.0470,2.7345,ND,ND,0.2854,ND,ND,ND,1.6650,ND ,0.4050,2.3210,0.8660
LJ008,Porter Sink,7/19/2021 10:30,7/19/21 21:50,0.0532,3.0387,ND,ND,ND,ND,ND,0.0080,2.3880,ND ,0.6600,0.9870,2.5810
LJ009,Porter Sink,7/27/2021 11:20,7/27/21 18:36,ND,2.9362,ND,ND,ND,ND,ND,ND,2.3810,ND ,0.7700,0.9700,2.5850
LJ010,Porter Sink,8/2/2021 10:45,8/4/21 18:40,0.1081,4.0744,ND,ND,ND,ND,ND,ND,2.5390,ND ,1.3360,0.9320,2.5210
LJ011,Porter Sink,8/9/2021 10:45,8/9/21 13:45,0.0500,4.6289,ND,ND,ND,ND,ND ,ND,2.706,ND ,2.024,1.165,3.117
LJ012,Porter Sink,8/12/2021 14:38,8/13/21 12:16,0.1419,4.1874,ND,ND,ND,ND,ND ,ND,3.0370,0.3660,2.2430,0.9380,2.8100
LJ013,Porter Sink,8/17/2021 11:50,8/18/21 17:10,ND,5.2332,ND,ND,ND,ND,ND ,ND,2.411,ND,0.5880,0.7430,2.1870
LJ014,Porter Sink,8/20/2021 9:45,8/20/21 14:14,ND,4.5962,ND,ND,ND,ND,ND ,ND,4.0570,0.0690,1.4130,1.1600,3.1770
LJ015,Porter Sink,8/24/2021 9:25,8/24/21 14:52,0.0458,5.0522,ND,ND,ND,ND,ND ,ND,7.0460,ND,2.8743,3.5630,7.1230
LJ016,Porter Sink,8/26/2021 13:40,8/27/21 17:59,ND,4.9495,ND,ND,ND,ND,ND ,ND,5.1850,ND ,1.3140,2.0710,4.9470
LJ017,Porter Sink,8/30/2021 8:40,8/30/21 13:33,0.0827,5.1918,ND,ND,ND,ND,ND ,ND,4.5170,ND ,0.4350,1.7810,4.6490
FW001,FSU Well,5/4/21 12:45,5/5/21 16:55,1.5642,14.7559,ND,ND,7.8398,ND,0.0000,,,,,,
FW002,FSU Well,6/8/2021 13:44,6/12/21 0:08,1.3000,11.1981,ND,ND,7.3823,1.8107,44.5957,ND,16.9420,ND ,4.0860,0.9650,23.7840
FW003,FSU Well,6/14/2021 20:20,6/15/21 1:23,0.8840,8.1580,0.5974,ND,5.1840,2.2803,29.4832,ND,16.1070,ND ,4.3810,1.4490,30.7620
FW004,FSU Well,6/21/2021 16:10,6/21/21 18:32,0.5089,8.5644,ND,ND,5.1758,1.3938,31.4929,ND,15.1450,ND ,3.3950,1.2410,31.0300
FW005,FSU Well,6/25/2021 16:25,6/25/21 18:42,0.1333,3.9777,ND,ND,0.9604,ND,3.3080,ND,4.2380,ND ,0.8590,2.5050,69.7370
FW006,FSU Well,7/5/2021 13:35,7/5/21 15:07,0.3655,6.9474,ND,0.2315,4.4017,1.0770,22.6272,ND,11.7400,ND,6.255,1.5790,39.3130
FW007,FSU Well,7/12/2021 14:10,7/12/21 15:16,0.1678,4.5815,ND,0.4477,1.7942,0.5696,6.9850,ND,5.7230,ND ,1.254,2.2190,63.9980
FW008,FSU Well,7/19/2021 15:35,7/19/21 22:07,0.3008,4.0540,ND,ND,1.6808,ND,8.0649,ND,6.7990,ND ,1.474,2.1500,59.4320
FW009,FSU Well,7/27/2021 15:00,7/27/21 18:54,0.6624,3.9832,ND,ND,0.7406,ND,2.3912,ND,5.6070,ND ,1.951,2.4750,70.0610
FW010,FSU Well,8/2/2021 15:15,8/4/21 19:00,0.4727,4.1502,ND,ND,1.0297,0.4435,1.0297,ND,4.772,ND ,1.341,2.353,67.888
FW011,FSU Well,8/9/2021 12:00,8/9/21 14:03,0.2745,4.5054,ND,ND,1.6788,ND,6.5907,ND,5.58,ND ,1.407,2.188,63.637
FW012,FSU Well,8/13/2021 10:30,8/13/21 12:33,0.1343,3.3255,ND,ND,0.7147,ND,2.133,ND,3.838,ND ,0.78,2.474,70.338
FW013,FSU Well,8/17/2021 14:30,8/18/21 17:28,0.2241,5.6632,ND,ND,1.1223,ND,4.0996,ND,4.195,0.116,0.731,2.412,71.861
FW014,FSU Well,8/20/2021 11:30,8/20/21 14:32,0.2552,3.7878,ND,ND,0.8771,ND,2.8305,ND,4.54,0.124,1.124,2.395,70.616
FW015,FSU Well,8/24/2021 12:50,8/24/21 15:10,0.2095,3.1858,ND,ND,0.7992,ND,2.5767,2.609,4.261,0.124,0.925,4.069,69.128
FW016,FSU Well,8/26/2021 14:45,8/27/21 18:17,ND,3.5412,ND,ND,ND,ND,2.5982,0.005,4.191,0.112,0.841,2.575,69.512
FW017,FSU Well,8/30/2021 11:20,8/30/21 13:51,0.1875,4.52,ND,ND,1.0387,ND,3.2697,ND,3.916,0.081,0.736,2.549,69.743
BS001,Blue Sink,6/8/2021 15:48,6/12/21 0:26,0.1557,2.8855,ND,ND,0.2155,ND,ND,ND,2.2520,0.1140,0.9110,1.2430,14.7380
BS003,Blue Sink,6/14/2021 16:00,6/15/21 1:40,ND,2.1196,ND,ND,ND,ND,ND,ND,2.2970,ND,0.8010,1.2400,14.5650
BS003,Blue Sink,6/21/2021 0:00,6/21/21 18:50,0.0536,2.3877,ND,ND,ND,ND,ND,ND,2.1240,ND,0.5310,1.2500,14.1710
BS004,Blue Sink,6/25/2021 12:30,6/25/21 19:00,ND,2.3066,ND,ND,ND,ND,ND,ND,2.1270,ND,0.6260,1.2070,13.9720
BS005,Blue Sink,7/5/2021 12:13,7/5/21 15:25,0.0764,2.3133,ND,ND,ND,ND,ND,ND,2.1230,ND ,0.7160,1.2460,13.7950
BS006,Blue Sink,7/12/2021 13:02,7/12/21 15:34,0.0411,2.3164,ND,ND,ND,ND,ND,ND,2.0850,ND ,0.7880,1.1700,13.6250
BS007,Blue Sink,7/19/2021 13:55,7/19/21 22:25,ND,1.8276,ND,ND,ND,ND,ND,ND,2.0890,ND ,0.5920,1.1580,13.2930
BS008,Blue Sink,7/27/2021 10:15,7/27/21 19:12,0.0283,1.6548,ND,ND,ND,ND,ND,ND,2.1280,ND ,0.5970,1.1470,13.3870
BS009,Blue Sink,8/2/2021 10:00,8/4/21 19:17,0.0372,2.0087,ND,ND,ND,ND,ND,ND,2.0660,ND ,0.7290,1.2360,12.8470
BS010,Blue Sink,8/9/2021 9:30,8/9/21 14:21,0.0550,2.0966,ND,ND,ND,ND,ND,ND,2.0420,ND ,0.6390,1.2440,12.7650
BS011,Blue Sink,8/13/2021 9:30,8/13/21 13:09,ND,1.7717,ND,ND,ND,ND,ND,ND,2.0600,ND ,0.5550,1.1750,12.8980
BS012,Blue Sink,8/17/2021 10:03,8/18/21 18:03,0.0985,3.1809,ND,ND,0.1573,ND,ND ,ND,2.058,0.03,0.548,1.058,12.545
BS013,Blue Sink,8/20/2021 9:00,8/20/21 15:08,0.0608,1.9512,ND,ND,ND,ND,ND ,ND,2.1390,0.0040,0.5860,1.0460,12.5850
BS014,Blue Sink,8/24/2021 8:45,8/24/21 15:45,ND,1.7200,ND,ND,ND,ND,ND ,ND,2.0050,ND ,0.5150,2.6150,14.1730
BS015,Blue Sink,8/26/2021 13:00,8/27/21 18:52,ND,1.8894,ND,ND,ND,ND,ND ,ND,2.1020,ND ,0.5900,1.0840,12.3650
BS016,Blue Sink,8/30/2021 10:10,8/30/21 14:27,ND,2.2520,ND,ND,ND,ND,ND ,ND,2.0460,ND ,0.5330,1.0840,12.0830
MS001,Munson Slough/Eight Mile Pond,8/13/2021 9:20,8/13/21 13:27,ND,1.4991,ND,ND,ND,ND,ND ,ND,1.989,ND ,0.784,3.512,14.243
MS002,Munson Slough/Eight Mile Pond,8/17/2021 9:55,8/18/21 18:21,0.1263,3.0047,ND,ND,0.209,ND,0.7294,ND,1.966,0.02,1.07,3.083,14.064
MS003,Munson Slough/Eight Mile Pond,8/20/2021 8:50,8/20/21 15:25,ND,1.8608,ND,ND,ND,ND,0.4806,ND,2.222,ND ,0.886,3.626,15.814
MS004,Munson Slough/Eight Mile Pond,8/24/2021 8:40,8/24/21 16:03,ND,1.485,ND,ND,ND,ND,1.0365,ND,1.752,ND ,0.945,4.59,15.263
MS005,Munson Slough/Eight Mile Pond,8/26/2021 12:50,8/27/21 19:10,ND,1.4892,ND,ND,ND,ND,0.8513,ND,1.833,ND ,0.943,3.133,13.806
MS006,Munson Slough/Eight Mile Pond,8/30/2021 10:00,8/30/21 14:44,ND,1.6562,ND,ND,ND,ND,ND ,ND,1.698,ND ,1.057,2.952,13.091
SW001,Sally Ward Spring,6/8/2021 15:36,6/12/21 0:44,0.1711,8.2993,ND,0.3216,2.8215,ND,10.1323,ND,6.4250,0.0080,0.9500,11.3610,47.3320
SW002,Sally Ward Spring,6/14/2021 15:45,6/15/21 1:58,0.0998,6.1072,ND,ND,1.5178,ND,7.3960,ND,6.5020,ND ,1.1030,11.3350,47.3400
SW003,Sally Ward Spring,6/21/2021 13:10,6/21/21 19:08,0.1404,6.3744,ND,0.2676,2.1775,ND,7.8834,ND,6.2110,ND ,0.8760,11.2900,46.8000
SW004,Sally Ward Spring,6/25/2021 12:10,6/25/21 19:18,0.1438,6.1825,ND,ND,1.7809,ND,7.5397,ND,6.3800,ND ,0.8140,11.4010,47.5300
SW005,Sally Ward Spring,7/5/2021 11:49,7/5/21 15:43,0.1246,6.3041,ND,0.3513,2.0338,ND,8.7591,ND,6.3060,ND ,0.6730,11.3480,47.9820
SW006,Sally Ward Spring,7/12/2021 12:46,7/12/21 15:51,0.1575,6.6293,ND,0.4648,1.9318,ND,7.9673,ND,6.1990,ND ,0.8050,11.3360,47.2940
SW007,Sally Ward Spring,7/19/2021 13:30,7/19/21 22:42,0.1177,5.3844,ND,ND,1.6371,ND,7.1188,0.0150,6.2180,ND ,1.426,11.2910,47.4050
