ID,Location,Sampling time,dD vs vsmow,d18O vs vsmow
LJ000,Porter Sink ,5/4/2021 13:00,15,3.48
LJ001,Porter Sink,6/7/2021 13:49,25.9,6.29
LJ002,Porter Sink,6/8/2021 13:08,23.3,5.29
LJ003,Porter Sink,6/14/2021 17:20,29.4,6.43
LJ004,Porter Sink,6/21/2021 11:18,5.1,3.2
LJ005,Porter Sink,6/25/2021 10:40,-8.1,0.22
LJ006,Porter Sink,7/5/2021 10:13,-0.3,1.05
LJ007,Porter Sink,7/12/2021 10:14,4.8,2.23
LJ008,Porter Sink,7/19/2021 10:30,11.2,2.89
LJ009,Porter Sink,7/27/2021 11:20,10,2.74
LJ010,Porter Sink,8/2/2021 10:45,12.6,3.56
LJ011,Porter Sink,8/9/2021 10:45,14.7,3.87
LJ012,Porter Sink,8/12/2021 14:38,17.2,4.75
LJ013,Porter Sink,8/17/2021 11:50,4.5,1.42
LJ014,Porter Sink,8/20/2021 9:45,5.4,1.81
LJ015,Porter Sink,8/24/2021 9:25,5.1,1.75
LJ016,Porter Sink,8/26/2021 13:40,9.3,2.03
LJ017,Porter Sink,8/30/2021 8:40,5.5,1.55
LJ018,Porter Sink,9/2/2021 7:50,-1.0,0.19
LJ019,Porter Sink,9/7/2021 8:00,5.7,-1.45
LJ020,Porter Sink,9/9/2021 8:02,-1.2,0.70
LJ021,Porter Sink,9/13/2021 8:10,-12.3,-0.72
LJ022,Porter Sink,9/16/2021 8:15,-14.5,-1.13
LJ023,Porter Sink,9/30/2021 8:00,-13.1,-1.03
LJ024,Porter Sink,10/7/2021 8:47,-59.3,-1.19
LJ025,Porter Sink,10/14/2021 8:00,-11.1,-1.46
LJ026,Porter Sink,10/20/2021 7:45,-8.2,NA
LJ027,Porter Sink,10/29/2021 13:40,NA,-0.79
FW001,FSU Well,5/4/2021 12:45,NA,NA
FW002,FSU Well,6/8/2021 13:44,NA,NA
FW003,FSU Well,6/14/2021 20:20,-21.5,-3.47
FW004,FSU Well,6/21/2021 16:10,-20.0,-3.69
FW005,FSU Well,6/25/2021 16:25,-18.5,-3.34
FW006,FSU Well,7/5/2021 13:35,-18.5,-3.63
FW007,FSU Well,7/12/2021 14:10,-17.4,-3.62
FW008,FSU Well,7/19/2021 15:35,-14.5,-3.58
FW009,FSU Well,7/27/2021 15:00,-17.0,-3.51
FW010,FSU Well,8/2/2021 15:15,-18.6,-3.90
FW011,FSU Well,8/9/2021 12:00,-5.0,-3.63
FW012,FSU Well,8/13/2021 10:30,-18.8,-3.66
FW013,FSU Well,8/17/2021 14:30,-18.9,-3.76
FW014,FSU Well,8/20/2021 11:30,-15.9,-3.47
FW015,FSU Well,8/24/2021 12:50,-15.3,-3.57
FW016,FSU Well,8/26/2021 14:45,-15.5,-3.52
FW017,FSU Well,8/30/2021 11:20,-18.5,-3.66
FW018,FSU Well,9/2/2021 13:50,-19.1,-3.73
FW019,FSU Well,9/7/2021 12:15,-16.9,-3.57
FW020,FSU Well,9/9/2021 9:27,-18.0,-3.60
FW021,FSU Well,9/13/2021 11:00,-21.6,-3.69
FW022,FSU Well,9/16/2021 14:55,-16.6,-3.02
FW023,FSU Well,9/30/2021 10:30,-20.3,-3.74
FW024,FSU Well,10/7/2021 10:50,-19.5,-3.60
FW025,FSU Well,10/14/2021 14:30,-15.3,-3.77
FW026,FSU Well,10/20/2021 10:50,-15.5,NA
FW027,FSU Well,10/29/2021 8:50,-18.3,-3.63
BS001,Blue Sink,6/8/2021 15:48,4.7,2.02
BS002,Blue Sink,6/14/2021 16:00,4.1,1.96
BS003,Blue Sink,6/21/2021 0:00,2.4,1.67
BS004,Blue Sink,6/25/2021 12:30,2.1,1.66
BS005,Blue Sink,7/5/2021 12:13,2.0,1.49
BS006,Blue Sink,7/12/2021 13:02,2.7,1.32
BS007,Blue Sink,7/19/2021 13:55,4.8,1.35
BS008,Blue Sink,7/27/2021 10:15,4.1,1.73
BS009,Blue Sink,8/2/2021 10:00,1.6,1.21
BS010,Blue Sink,8/9/2021 9:30,-4.8,1.39
BS011,Blue Sink,8/13/2021 9:30,2.2,1.52
BS012,Blue Sink,8/17/2021 10:03,0.1,1.27
BS013,Blue Sink,8/20/2021 9:00,3.1,1.47
BS014,Blue Sink,8/24/2021 8:45,3.7,1.38
