Timestamp (UTC),Value (in),Grade Code,Interpolation Type,Event Timestamp
12/11/2020 0:00,0,-1,5,12/10/2020 0:00
12/12/2020 0:00,0,-1,5,12/11/2020 0:00
12/13/2020 0:00,0,-1,5,12/12/2020 0:00
12/14/2020 0:00,0,-1,5,12/13/2020 0:00
12/15/2020 0:00,0.01,-1,5,12/14/2020 0:00
12/16/2020 0:00,0.01,-1,5,12/15/2020 0:00
12/17/2020 0:00,0.83,-1,5,12/16/2020 0:00
12/18/2020 0:00,0,-1,5,12/17/2020 0:00
12/19/2020 0:00,0,-1,5,12/18/2020 0:00
12/20/2020 0:00,0,-1,5,12/19/2020 0:00
12/21/2020 0:00,0.55,-1,5,12/20/2020 0:00
12/22/2020 0:00,NaN,-2,5,12/21/2020 0:00
12/23/2020 0:00,NaN,-2,5,12/22/2020 0:00
12/24/2020 0:00,NaN,-2,5,12/23/2020 0:00
12/25/2020 0:00,1.06,0,5,12/24/2020 0:00
12/26/2020 0:00,0,-1,5,12/25/2020 0:00
12/27/2020 0:00,0,-1,5,12/26/2020 0:00
12/28/2020 0:00,0,-1,5,12/27/2020 0:00
12/29/2020 0:00,0,-1,5,12/28/2020 0:00
12/30/2020 0:00,0,-1,5,12/29/2020 0:00
12/31/2020 0:00,0,-1,5,12/30/2020 0:00
1/1/2021 0:00,0.02,-1,5,12/31/2020 0:00
1/2/2021 0:00,0.67,-1,5,1/1/2021 0:00
1/3/2021 0:00,NaN,-2,5,1/2/2021 0:00
1/4/2021 0:00,NaN,-2,5,1/3/2021 0:00
1/5/2021 0:00,0,-1,5,1/4/2021 0:00
1/6/2021 0:00,0,-1,5,1/5/2021 0:00
1/7/2021 0:00,0,-1,5,1/6/2021 0:00
1/8/2021 0:00,0.28,-1,5,1/7/2021 0:00
1/9/2021 0:00,0,-1,5,1/8/2021 0:00
1/10/2021 0:00,NaN,-2,5,1/9/2021 0:00
1/11/2021 0:00,NaN,-2,5,1/10/2021 0:00
1/12/2021 0:00,NaN,-2,5,1/11/2021 0:00
1/13/2021 0:00,NaN,-2,5,1/12/2021 0:00
1/14/2021 0:00,NaN,-2,5,1/13/2021 0:00
1/15/2021 0:00,0,-1,5,1/14/2021 0:00
1/16/2021 0:00,0.34,-1,5,1/15/2021 0:00
1/17/2021 0:00,0,-1,5,1/16/2021 0:00
1/18/2021 0:00,0,-1,5,1/17/2021 0:00
1/19/2021 0:00,0,-1,5,1/18/2021 0:00
1/20/2021 0:00,0,-1,5,1/19/2021 0:00
1/21/2021 0:00,0,-1,5,1/20/2021 0:00
1/22/2021 0:00,0,-1,5,1/21/2021 0:00
1/23/2021 0:00,0.35,-1,5,1/22/2021 0:00
1/24/2021 0:00,0,-1,5,1/23/2021 0:00
1/25/2021 0:00,0,-1,5,1/24/2021 0:00
1/26/2021 0:00,0,-1,5,1/25/2021 0:00
1/27/2021 0:00,0.05,-1,5,1/26/2021 0:00
1/28/2021 0:00,0.85,-1,5,1/27/2021 0:00
1/29/2021 0:00,0,-1,5,1/28/2021 0:00
1/30/2021 0:00,0,-1,5,1/29/2021 0:00
1/31/2021 0:00,0,-1,5,1/30/2021 0:00
2/1/2021 0:00,0.24,-1,5,1/31/2021 0:00
2/2/2021 0:00,0,-1,5,2/1/2021 0:00
2/3/2021 0:00,0,-1,5,2/2/2021 0:00
2/4/2021 0:00,0,-1,5,2/3/2021 0:00
2/5/2021 0:00,0,-1,5,2/4/2021 0:00
2/6/2021 0:00,0,-1,5,2/5/2021 0:00
2/7/2021 0:00,0.17,-1,5,2/6/2021 0:00
2/8/2021 0:00,0,-1,5,2/7/2021 0:00
2/9/2021 0:00,0,-1,5,2/8/2021 0:00
2/10/2021 0:00,0.37,-1,5,2/9/2021 0:00
2/11/2021 0:00,0.02,-1,5,2/10/2021 0:00
2/12/2021 0:00,0,-1,5,2/11/2021 0:00
2/13/2021 0:00,0,-1,5,2/12/2021 0:00
2/14/2021 0:00,0.76,-1,5,2/13/2021 0:00
2/15/2021 0:00,0.65,-1,5,2/14/2021 0:00
2/16/2021 0:00,0.5,-1,5,2/15/2021 0:00
2/17/2021 0:00,0.03,-1,5,2/16/2021 0:00
2/18/2021 0:00,0,-1,5,2/17/2021 0:00
2/19/2021 0:00,1.41,-1,5,2/18/2021 0:00
2/20/2021 0:00,0.08,-1,5,2/19/2021 0:00
2/21/2021 0:00,0,-1,5,2/20/2021 0:00
2/22/2021 0:00,0,-1,5,2/21/2021 0:00
2/23/2021 0:00,0.11,-1,5,2/22/2021 0:00
2/24/2021 0:00,0.01,-1,5,2/23/2021 0:00
2/25/2021 0:00,0,-1,5,2/24/2021 0:00
2/26/2021 0:00,0,-1,5,2/25/2021 0:00
2/27/2021 0:00,0,-1,5,2/26/2021 0:00
2/28/2021 0:00,0,-1,5,2/27/2021 0:00
3/1/2021 0:00,0,-1,5,2/28/2021 0:00
3/2/2021 0:00,0.21,-1,5,3/1/2021 0:00
3/3/2021 0:00,0.44,-1,5,3/2/2021 0:00
3/4/2021 0:00,0.51,-1,5,3/3/2021 0:00
3/5/2021 0:00,0,-1,5,3/4/2021 0:00
3/6/2021 0:00,0,0,5,3/5/2021 0:00
3/7/2021 0:00,NaN,-2,5,3/6/2021 0:00
3/8/2021 0:00,NaN,-2,5,3/7/2021 0:00
3/9/2021 0:00,0,0,5,3/8/2021 0:00
3/10/2021 0:00,0,-1,5,3/9/2021 0:00
3/11/2021 0:00,0,-1,5,3/10/2021 0:00
3/12/2021 0:00,0,-1,5,3/11/2021 0:00
3/13/2021 0:00,0,-1,5,3/12/2021 0:00
3/14/2021 0:00,0,-1,5,3/13/2021 0:00
3/15/2021 0:00,0,-1,5,3/14/2021 0:00
3/16/2021 0:00,0,-1,5,3/15/2021 0:00
3/17/2021 0:00,0,-1,5,3/16/2021 0:00
3/18/2021 0:00,0,-1,5,3/17/2021 0:00
3/19/2021 0:00,0.78,-1,5,3/18/2021 0:00
3/20/2021 0:00,NaN,-2,5,3/19/2021 0:00
3/21/2021 0:00,0,-1,5,3/20/2021 0:00
3/22/2021 0:00,0,-1,5,3/21/2021 0:00
