#Bulk Export - Points as recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grade Codes: -3 GAP,-2 Unusable, -1 Unspecified,0 Undefined,1 Unverified,4 Partial,5 Est. No Confidence,10 Est. Poor,11 Poor,20 Est. Fair,21 Fair,30 Est. Good,31 Good,40 Est. Very Good,41 Very Good,50 Est. Excellent,51 Excellent,1000 USGS data,2000 FDEP data,3000 LEGACY

Interpolation Types: 1 Instantaneous Values, 2 Preceding Constant, 5 Preceding Totals, 6 Instantaneous Totals, 7 Discrete Values, 8 Succeeding Constant


Data are provisional and subject to revision until they have been thoroughly reviewed and received final approval.

Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement site. Subsequent review based on field inspections and measurements may result in significant revisions to the data.

Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern personal or public safety or the conduct of business that involves substantial monetary or operational consequences.

Information concerning the accuracy and appropriate uses of these data or concerning other hydrologic data may be obtained by contacting the Office of the Ombudsman, ombudsman@nwfwater.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,000342,,001204,,002137,,002138,,002415,,003156,,003340,,003403,,007492,,007493,,007495,,007498,,007499,,008418,,008877,,012459,,012682,,012683,,012684,,012685,,012686,,012687,,012688,,012689,,012690,,012691,,012709,,012710,,012724,,012725,
,USGS-LESTER LEWIS/S788,,NWFWMD-BIKE TRAIL / NITRATE POT. MAP/S795,,NWFWMD-BRADFORD BROOK DEEP/S793,,NWFWMD-BRADFORD BROOK SHALLOW,,TOM BROWN TEST/S791,,USGS-OLSON RD./S677,,NWFWMD-HQ FLORIDAN OBS/S704,,USGS-LAKE JACKSON INTERMEDIATE/S706,,NWFWMD-NITRATE #1,,NWFWMD-NITRATE #2/S790,,NWFWMD-NITRATE #4/S782,,NWFWMD-NITRATE #5/S796,,NWFWMD-NITRATE #6/S797,,WAKULLA CORRECTIONAL INSTITUTE #1/S779,,WAKULLA CONDUIT WELL@WEST OF HWY 61,,FGS - SULLIVAN SINK #1,,NWFWMD GW-2F-LZ (FT BRADEN)/S802,,NWFWMD GW-3F-LZ (ANF FR-305),,NWFWMD GW-4F-UZ (HWY27 DOT),,NWFWMD GW-5F (LEON CTY VFD)/S814,,NWFWMD GW-6F (MICC GREENWAY)/S816,,NWFWMD GW-7F (LEON CR-59)/S818,,NWFWMD GW-5S (LEON CTY VFD),,NWFWMD GW-7S (LEON CR-59),,NWFWMD GW-4F-LZ (HWY27 DOT)/S812,,NWFWMD GW-12F (RIVERSPRINGS MS)/S820,,NWFWMD GW-2S (FT BRADEN)/S805,,NWFWMD GW-6S (MICC GREENWAY),,NWFWMD GW-2F-UZ (FT BRADEN)/S826,,NWFWMD GW-3F-UZ (ANF FR-305),
