#Bulk Export - Points as recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grade Codes: -3 GAP,-2 Unusable, -1 Unspecified,0 Undefined,1 Unverified,4 Partial,5 Est. No Confidence,10 Est. Poor,11 Poor,20 Est. Fair,21 Fair,30 Est. Good,31 Good,40 Est. Very Good,41 Very Good,50 Est. Excellent,51 Excellent,1000 USGS data,2000 FDEP data,3000 LEGACY

Interpolation Types: 1 Instantaneous Values, 2 Preceding Constant, 5 Preceding Totals, 6 Instantaneous Totals, 7 Discrete Values, 8 Succeeding Constant


Data are provisional and subject to revision until they have been thoroughly reviewed and received final approval.

Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement site. Subsequent review based on field inspections and measurements may result in significant revisions to the data.

Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern personal or public safety or the conduct of business that involves substantial monetary or operational consequences.

Information concerning the accuracy and appropriate uses of these data or concerning other hydrologic data may be obtained by contacting the Office of the Ombudsman, ombudsman@nwfwater.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,009383,,010822,,010935,,011289,,011321,,011327,,011328,,011336,,011342,,011343,,011355,,012358,,012548,,012549,,012708,,012899,
,FISHER CREEK @ SPRINGHILL RD.,,WAKULLA RIVER AT BOAT TRAM,,"John Knox Pond, Megginnis Tributary",,LAKE JACKSON FACILITY AKA 64/606,,Lake Jackson - Miller Landing Road,,NE Drainage Ditch @ Centerville and Blairstone,,Lauder Pond near Thomasville/Bannerman Rd,,Regional Stormwater Facility - City of Tallahassee,,Southwood SW Pond SB111B,,Southwood SW Pond WD005,,Lake Miccosukee @ US90 Outfall,,LAKE IAMONIA EAST,,LAKE KILLARNY AT MCLAUGHLIN DRIVE,,LAKE KANTURK AT CLIFDEN DR,,INDIAN SPRING RUN AT SR61,,ST. MARKS RIVER - UPPER DISCHARGE BEFORE SWALLET,
,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code,Stage.NAVD88.Daily,Grade Code
Timestamp (UTC),Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),,Value (ft),
2014-08-14 00:00:00,,,-1.4322743055555556,51,135.84027777777777,41,96.2935486111111,41,83.78878025499989,41,63.902598841876475,41,159.55181944444445,41,46.40926041666667,3000,32.773524305555554,3000,29.544583333333332,3000,78.81520833333333,41,97.3190625,41,72.5503125,41,72.59544089530591,31,,,,
