#Bulk Export - Points as recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grade Codes: -3 GAP,-2 Unusable, -1 Unspecified,0 Undefined,1 Unverified,4 Partial,5 Est. No Confidence,10 Est. Poor,11 Poor,20 Est. Fair,21 Fair,30 Est. Good,31 Good,40 Est. Very Good,41 Very Good,50 Est. Excellent,51 Excellent,1000 USGS data,2000 FDEP data,3000 LEGACY

Interpolation Types: 1 Instantaneous Values, 2 Preceding Constant, 5 Preceding Totals, 6 Instantaneous Totals, 7 Discrete Values, 8 Succeeding Constant


Data are provisional and subject to revision until they have been thoroughly reviewed and received final approval.

Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement site. Subsequent review based on field inspections and measurements may result in significant revisions to the data.

Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern personal or public safety or the conduct of business that involves substantial monetary or operational consequences.

Information concerning the accuracy and appropriate uses of these data or concerning other hydrologic data may be obtained by contacting the Office of the Ombudsman, ombudsman@nwfwater.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7795,,8434,,8454,,8460,,8465,,8466,,8469,,8471,,8474,,8479,,11289,,11327,,11335,,11337,,11352,,11359,,11373,,11956,,12082,,12304,,12547,,12463,,7736,,7952,,8093,,8445,,8449,,8459,,8481,,8484,,9383,,10822,,10935,,11289,,11321,,11327,,11328,,11336,,11342,,11343,,11355,,12358,,12548,,12549,,12708,,12899,
