#Bulk Export - Points as recorded,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Grade Codes: -3 GAP,-2 Unusable, -1 Unspecified,0 Undefined,1 Unverified,4 Partial,5 Est. No Confidence,10 Est. Poor,11 Poor,20 Est. Fair,21 Fair,30 Est. Good,31 Good,40 Est. Very Good,41 Very Good,50 Est. Excellent,51 Excellent,1000 USGS data,2000 FDEP data,3000 LEGACY

Interpolation Types: 1 Instantaneous Values, 2 Preceding Constant, 5 Preceding Totals, 6 Instantaneous Totals, 7 Discrete Values, 8 Succeeding Constant


Data are provisional and subject to revision until they have been thoroughly reviewed and received final approval.

Provisional data may be inaccurate due to instrument malfunctions or physical changes at the measurement site. Subsequent review based on field inspections and measurements may result in significant revisions to the data.

Data users are cautioned to consider carefully the provisional nature of the information before using it for decisions that concern personal or public safety or the conduct of business that involves substantial monetary or operational consequences.

Information concerning the accuracy and appropriate uses of these data or concerning other hydrologic data may be obtained by contacting the Office of the Ombudsman, ombudsman@nwfwater.com.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,007795,,008434,,008454,,008460,,008465,,008466,,008469,,008471,,008474,,008479,,011289,,011327,,011335,,011337,,011352,,011359,,011373,,011956,,012082,,012304,,012547,,012463,,007736,,007952,,008093,,008445,,008449,,008459,,008481,,008484,
,AMES SINK/S555,,MUNSON SLOUGH @ CAPITAL CIRCLE,,FORDS ARM TRIB@MERD,,ALFORD ARM TRIB@BUCK,,CENTRAL D.D.@ORANGE,,WEST DRAINAGE DITCH @ ROBERTS AVE,,LAKE KANTURK OUTFALL,,LAKE LAFAYETTE OUTFALL,,NE D.D.@MAHAN DR,,PARK AV D.D.@ VIOLET - S100,,LAKE JACKSON FACILITY AKA 64/606,,NE Drainage Ditch @ Centerville and Blairstone,,Central Drainage Ditch @ Lake Bradford Road,,Boone Blvd Holding pond (City ID# 700),,St. Marks River @ San Marcos de Apalachee S.P.,,Still Creek at Capitola Rd,,Lake Iamonia Outfall @ Meridian Rd,,LEON HIGH SCHOOL STORMWATER INLET,,LAKE BRADFORD,,ST. MARKS RIVER @ TRAM RD,,LAKE KINSALE OUTFALL,,LAKE MUNSON OUTFALL,,MUNSON SLOUGH @ OAKRIDGE ROAD,,BLACK CREEK @ CR 267,,LOST CREEK @ ARRAN RD (CR 368),,BRADFORD BROOK @ AENON CHURCH ROAD,,WEST DRAINAGE DITCH @ US 90,,ALFORD ARM TRIB@MICC,,EAST D.D.@ADAMS ST,,QUINCY CREEK@SR 267,
